index,weekid,week position,song,performer,genre,duration,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,year,decade
219366,1958-09-27,10,Near You,Roger Williams,"['adult standards', 'ballroom', 'easy listening', 'lounge']",167146.0,False,0.768,0.158,7.0,-14.752,1.0,0.0391,0.678,0.69,0.0833,0.545,122.817,23.0,1958,1950
57603,1958-09-27,17,Stupid Cupid,Connie Francis,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']",133746.0,False,0.6089999999999999,0.794,3.0,-4.739,1.0,0.0389,0.7339999999999999,6.2e-05,0.0479,0.968,136.036,50.0,1958,1950
79521,1958-09-27,18,Carol,Chuck Berry,"['blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']",168600.0,False,0.637,0.8519999999999999,0.0,-10.752,1.0,0.036,0.8689999999999999,0.000836,0.3509999999999999,0.789,157.291,43.0,1958,1950
212685,1958-10-04,11,How The Time Flies,Jerry Wallace,[],148373.0,False,0.496,0.273,9.0,-13.036,1.0,0.0277,0.5799999999999998,0.00146,0.0736,0.566,87.025,15.0,1958,1950
237140,1958-10-04,25,Itchy Twitchy Feeling,Bobby Hendricks,[],149533.0,False,0.5859999999999999,0.5969999999999999,2.0,-9.372000000000002,1.0,0.0628,0.815,0.0,0.0965,0.968,148.918,10.0,1958,1950
87253,1958-10-04,26,Treasure Of Your Love,Eileen Rodgers,['deep adult standards'],171076.0,False,0.4939999999999999,0.4789999999999999,11.0,-8.258,0.0,0.0309,0.5829999999999999,0.000139,0.28,0.535,97.826,10.0,1958,1950
205963,1958-10-04,42,I Wish,The Platters,"['adult standards', 'brill building pop', 'doo-wop', 'lounge', 'rock-and-roll', 'rockabilly']",162933.0,False,0.567,0.2119999999999999,5.0,-12.459,0.0,0.0344,0.873,0.0,0.112,0.5959999999999999,77.444,20.0,1958,1950
16043,1958-10-11,4,Tears On My Pillow,Little Anthony And The Imperials,"['brill building pop', 'classic soul', 'doo-wop', 'motown', 'rhythm and blues', 'rock-and-roll']",140533.0,False,0.432,0.202,0.0,-14.518,1.0,0.0283,0.908,0.0,0.1809999999999999,0.641,100.082,55.0,1958,1950
93487,1958-10-11,5,Susie Darlin',Robin Luke,[],153920.0,False,0.83,0.325,9.0,-13.681,1.0,0.0373,0.514,0.00165,0.1719999999999999,0.816,123.094,11.0,1958,1950
16425,1958-10-11,7,The End,Earl Grant,['space age pop'],140800.0,False,0.454,0.264,0.0,-11.891,1.0,0.032,0.62,3.1e-05,0.1759999999999999,0.315,89.66899999999998,28.0,1958,1950
180982,1958-10-11,20,Firefly,Tony Bennett,"['adult standards', 'easy listening', 'vocal jazz']",117640.0,False,0.56,0.565,1.0,-6.193,1.0,0.1029999999999999,0.5849999999999999,0.0,0.0807999999999999,0.676,92.173,42.0,1958,1950
213955,1958-10-11,24,No One Knows,Dion & The Belmonts,"['canadian pop', 'dance pop']",155240.0,False,0.2899999999999999,0.169,2.0,-16.456,1.0,0.038,0.8379999999999999,0.00931,0.108,0.1749999999999999,58.727,26.0,1958,1950
195750,1958-10-11,33,Win Your Love For Me,Sam Cooke,"['adult standards', 'brill building pop', 'classic soul', 'rock-and-roll', 'soul']",167773.0,False,0.688,0.668,7.0,-8.955,1.0,0.0317,0.766,1e-06,0.137,0.893,134.042,33.0,1958,1950
186133,1958-10-18,2,Rock-in Robin,Bobby Day,"['doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",160080.0,False,0.541,0.6079999999999999,7.0,-13.083,1.0,0.106,0.2979999999999999,0.0,0.234,0.938,171.992,63.0,1958,1950
294843,1958-10-18,15,You Cheated,The Shields,[],146733.0,False,0.508,0.1729999999999999,11.0,-10.289,1.0,0.0294,0.974,0.0,0.0987,0.435,66.471,10.0,1958,1950
25368,1958-10-18,32,The Hula Hoop Song,Georgia Gibbs,['deep adult standards'],135367.0,False,0.651,0.53,2.0,-10.461,1.0,0.0581,0.778,0.0,0.677,0.8489999999999999,81.25499999999998,2.0,1958,1950
25373,1958-10-18,38,The Hula Hoop Song,Teresa Brewer,"['adult standards', 'deep adult standards']",171533.0,False,0.7009999999999998,0.3509999999999999,5.0,-10.27,1.0,0.0426,0.97,0.000118,0.2909999999999999,0.803,146.126,7.0,1958,1950
15476,1958-10-25,22,Ten Commandments Of Love,Harvey & The Moonglows,"['alternative rock', 'art pop', 'art rock', 'chamber pop', 'chamber psych', 'garage rock', 'indie rock', 'melancholia', 'permanent wave', 'piano rock', 'rock', 'singer-songwriter']",246106.0,False,0.405,0.059,3.0,-17.288,1.0,0.0347,0.764,0.0,0.107,0.2109999999999999,89.20399999999998,10.0,1958,1950
84620,1958-10-25,24,This Little Girl's Gone Rockin',Ruth Brown,"['jazz blues', 'jump blues', 'rhythm and blues', 'rock-and-roll', 'soul', 'southern soul']",108293.0,False,0.653,0.747,0.0,-6.932,1.0,0.0877,0.531,0.0,0.101,0.887,95.995,25.0,1958,1950
158100,1958-10-25,41,Baby Face,Little Richard,"['brill building pop', 'rock-and-roll', 'rockabilly', 'soul']",129320.0,False,0.73,0.4729999999999999,6.0,-5.599,1.0,0.0309,0.7079999999999999,0.0,0.1449999999999999,0.824,110.381,11.0,1958,1950
252991,1958-10-25,44,Leave Me Alone (Let Me Cry),Dicky Doo And The Don'ts,[],138157.0,False,0.4109999999999999,0.511,3.0,-10.578,1.0,0.0286,0.75,0.00026,0.3439999999999999,0.887,138.954,0.0,1958,1950
